# tau	obs1	obs2	std1	std2
1.000000000000000056e-01 -8.134765625000000000e-01 9.785156250000000000e-01 9.087464030501582121e-03 3.221448036045324297e-03
1.100000000000000006e-01 -8.437500000000000000e-01 9.765625000000000000e-01 8.386505877596516986e-03 3.363031570790017081e-03
1.199999999999999956e-01 -8.515625000000000000e-01 9.824218750000000000e-01 8.191454623929500869e-03 2.916784482801634132e-03
1.300000000000000044e-01 -8.193359375000000000e-01 9.794921875000000000e-01 8.958026874737786555e-03 3.148158510687520777e-03
1.399999999999999856e-01 -7.167968750000000000e-01 9.848632812500000000e-01 1.089503183784314676e-02 2.708327600201016015e-03
1.499999999999999667e-01 -8.110351562500000000e-01 9.824218750000000000e-01 9.140584606301479717e-03 2.916784482801634132e-03
1.599999999999999756e-01 -8.530273437500000000e-01 9.829101562500000000e-01 8.154159676088594197e-03 2.876342449002846236e-03
1.699999999999999845e-01 -7.919921875000000000e-01 9.741210937500000000e-01 9.539550368090374960e-03 3.531668072296274396e-03
1.799999999999999656e-01 -8.154296875000000000e-01 9.848632812500000000e-01 9.044627105548947582e-03 2.708327600201016015e-03
1.899999999999999467e-01 -8.085937500000000000e-01 9.838867187500000000e-01 9.193239962124639258e-03 2.793640092713590289e-03
1.999999999999999556e-01 -8.125000000000000000e-01 9.804687500000000000e-01 9.108768606532046536e-03 3.073045867962428002e-03
2.099999999999999645e-01 -8.427734375000000000e-01 9.829101562500000000e-01 8.410444658670026066e-03 2.876342449002846236e-03
2.199999999999999456e-01 -8.002929687500000000e-01 9.858398437500000000e-01 9.368893377943486936e-03 2.620150024543840394e-03
2.299999999999999545e-01 -8.544921875000000000e-01 9.785156250000000000e-01 8.116628823132548964e-03 3.221448036045324297e-03
2.399999999999999356e-01 -8.500976562500000000e-01 9.819335937500000000e-01 8.228516874306469192e-03 2.956653706298266460e-03
2.499999999999999167e-01 -8.520507812500000000e-01 9.799804687500000000e-01 8.179048986707983943e-03 3.110838257635475772e-03
